number,neighbor_count,bias_factor,effective_contacts,neighbors
1,8,1.000,8.0,2 3 4 5 6 7 8 9
2,8,1.000,8.0,1 3 9 10 11 12 13 25
3,8,1.000,8.0,1 2 4 5 9 12 13 14
4,8,1.000,8.0,1 3 5 13 14 15 16 17
5,8,1.000,8.0,1 3 4 6 7 16 17 18
6,8,1.000,8.0,1 5 7 17 18 19 20 21
7,8,1.000,8.0,1 5 6 8 9 20 21 22
8,8,1.000,8.0,1 7 9 21 22 23 24 25
9,8,1.000,8.0,1 2 3 7 8 10 24 25
10,7,1.143,8.0,2 9 11 12 25 26 27
11,8,1.000,8.0,2 10 12 26 27 28 29 30
12,8,1.000,8.0,2 3 10 11 13 29 30 31
13,8,1.000,8.0,2 3 4 12 14 30 31 32
14,8,1.000,8.0,3 4 13 15 16 31 32 33
15,8,1.000,8.0,4 14 16 32 33 34 35 36
16,8,1.000,8.0,4 5 14 15 17 35 36 37
17,8,1.000,8.0,4 5 6 16 18 36 37 38
18,8,1.000,8.0,5 6 17 19 20 37 38 39
19,5,1.600,8.0,6 18 20 38 39
20,5,1.600,8.0,6 7 18 19 21
21,5,1.600,8.0,6 7 8 20 22
22,5,1.600,8.0,7 8 21 23 24
23,3,2.667,8.0,8 22 24
24,5,1.600,8.0,8 9 22 23 25
25,6,1.333,8.0,2 8 9 10 24 26
26,4,2.000,8.0,10 11 25 27
27,5,1.600,8.0,10 11 26 28 29
28,3,2.667,8.0,11 27 29
29,5,1.600,8.0,11 12 27 28 30
30,5,1.600,8.0,11 12 13 29 31
31,5,1.600,8.0,12 13 14 30 32
32,5,1.600,8.0,13 14 15 31 33
33,5,1.600,8.0,14 15 32 34 35
34,3,2.667,8.0,15 33 35
35,5,1.600,8.0,15 16 33 34 36
36,5,1.600,8.0,15 16 17 35 37
37,5,1.600,8.0,16 17 18 36 38
38,5,1.600,8.0,17 18 19 37 39
39,3,2.667,8.0,18 19 38
