number,neighbor_count,bias_factor,effective_contacts,neighbors
1,5,1.000,5.0,2 20 21 29 30
2,8,1.000,8.0,1 3 14 15 20 21 29 30
3,8,1.000,8.0,2 4 9 10 14 15 20 21
4,8,1.000,8.0,3 5 9 10 13 14 15 16
5,8,1.000,8.0,4 6 9 10 13 16 17 24
6,5,1.000,5.0,5 13 16 17 24
7,5,1.000,5.0,8 18 19 26 27
8,8,1.000,8.0,7 9 13 14 18 19 26 27
9,8,1.000,8.0,3 4 5 8 13 14 18 19
10,8,1.000,8.0,3 4 5 11 15 16 22 23
11,8,1.000,8.0,10 12 15 16 22 23 32 33
12,5,1.000,5.0,11 22 23 32 33
13,8,1.000,8.0,4 5 6 8 9 17 18 25
14,8,1.000,8.0,2 3 4 8 9 19 20 28
15,8,1.000,8.0,2 3 4 10 11 21 22 31
16,8,1.000,8.0,4 5 6 10 11 23 24 34
17,5,1.000,5.0,5 6 13 18 25
18,8,1.000,8.0,7 8 9 13 17 25 26 35
19,8,1.000,8.0,7 8 9 14 20 27 28 36
20,7,1.000,7.0,1 2 3 14 19 28 29
21,8,1.000,8.0,1 2 3 15 22 30 31 37
22,8,1.000,8.0,10 11 12 15 21 31 32 38
23,8,1.000,8.0,10 11 12 16 24 33 34 39
24,5,1.000,5.0,5 6 16 23 34
25,5,1.000,5.0,13 17 18 26 35
26,5,1.000,5.0,7 8 18 25 35
27,5,1.000,5.0,7 8 19 28 36
28,6,1.000,6.0,14 19 20 27 29 36
29,4,1.000,4.0,1 2 20 28
30,5,1.000,5.0,1 2 21 31 37
31,7,1.000,7.0,15 21 22 30 32 37 38
32,5,1.000,5.0,11 12 22 31 38
33,5,1.000,5.0,11 12 23 34 39
34,5,1.000,5.0,16 23 24 33 39
35,3,1.000,3.0,18 25 26
36,3,1.000,3.0,19 27 28
37,4,1.000,4.0,21 30 31 38
38,4,1.000,4.0,22 31 32 37
39,3,1.000,3.0,23 33 34
