number,neighbor_count,bias_factor,effective_contacts,neighbors
1,6,1.000,6.0,2 3 4 37 38 39
2,6,1.000,6.0,1 3 4 5 38 39
3,6,1.000,6.0,1 2 4 5 6 39
4,6,1.000,6.0,1 2 3 5 6 7
5,6,1.000,6.0,2 3 4 6 7 8
6,6,1.000,6.0,3 4 5 7 8 9
7,6,1.000,6.0,4 5 6 8 9 10
8,6,1.000,6.0,5 6 7 9 10 11
9,6,1.000,6.0,6 7 8 10 11 12
10,6,1.000,6.0,7 8 9 11 12 13
11,6,1.000,6.0,8 9 10 12 13 14
12,6,1.000,6.0,9 10 11 13 14 15
13,6,1.000,6.0,10 11 12 14 15 16
14,6,1.000,6.0,11 12 13 15 16 17
15,6,1.000,6.0,12 13 14 16 17 18
16,6,1.000,6.0,13 14 15 17 18 19
17,6,1.000,6.0,14 15 16 18 19 20
18,6,1.000,6.0,15 16 17 19 20 21
19,6,1.000,6.0,16 17 18 20 21 22
20,6,1.000,6.0,17 18 19 21 22 23
21,6,1.000,6.0,18 19 20 22 23 24
22,6,1.000,6.0,19 20 21 23 24 25
23,6,1.000,6.0,20 21 22 24 25 26
24,6,1.000,6.0,21 22 23 25 26 27
25,6,1.000,6.0,22 23 24 26 27 28
26,6,1.000,6.0,23 24 25 27 28 29
27,6,1.000,6.0,24 25 26 28 29 30
28,6,1.000,6.0,25 26 27 29 30 31
29,6,1.000,6.0,26 27 28 30 31 32
30,6,1.000,6.0,27 28 29 31 32 33
31,6,1.000,6.0,28 29 30 32 33 34
32,6,1.000,6.0,29 30 31 33 34 35
33,6,1.000,6.0,30 31 32 34 35 36
34,6,1.000,6.0,31 32 33 35 36 37
35,6,1.000,6.0,32 33 34 36 37 38
36,6,1.000,6.0,33 34 35 37 38 39
37,6,1.000,6.0,1 34 35 36 38 39
38,6,1.000,6.0,1 2 35 36 37 39
39,6,1.000,6.0,1 2 3 36 37 38
