number,neighbor_count,bias_factor,effective_contacts,neighbors
1,3,2.667,8.0,2 13 14
2,8,1.000,8.0,1 3 13 14 15 16 18 19
3,8,1.000,8.0,2 4 9 10 18 19 22 23
4,8,1.000,8.0,3 5 9 10 26 27 30 31
5,8,1.000,8.0,4 6 30 31 33 34 35 36
6,3,2.667,8.0,5 35 36
7,3,2.667,8.0,8 21 25
8,8,1.000,8.0,7 9 17 21 22 25 26 29
9,8,1.000,8.0,3 4 8 10 18 22 26 30
10,8,1.000,8.0,3 4 9 11 19 23 27 31
11,8,1.000,8.0,10 12 20 23 24 27 28 32
12,4,2.000,8.0,11 24 28 39
13,5,1.600,8.0,1 2 14 15 18
14,5,1.600,8.0,1 2 13 16 19
15,5,1.600,8.0,2 13 17 18 22
16,5,1.600,8.0,2 14 19 20 23
17,5,1.600,8.0,8 15 18 21 22
18,8,1.000,8.0,2 3 9 13 15 17 19 22
19,8,1.000,8.0,2 3 10 14 16 18 20 23
20,5,1.600,8.0,11 16 19 23 24
21,5,1.600,8.0,7 8 17 22 25
22,8,1.000,8.0,3 8 9 15 17 18 21 26
23,8,1.000,8.0,3 10 11 16 19 20 24 27
24,5,1.600,8.0,11 12 20 23 28
25,5,1.600,8.0,7 8 21 26 29
26,8,1.000,8.0,4 8 9 22 25 29 30 33
27,8,1.000,8.0,4 10 11 23 28 31 32 34
28,7,1.143,8.0,11 12 24 27 32 38 39
29,5,1.600,8.0,8 25 26 30 33
30,8,1.000,8.0,4 5 9 26 29 31 33 35
31,8,1.000,8.0,4 5 10 27 30 32 34 36
32,8,1.000,8.0,11 27 28 31 34 37 38 39
33,5,1.600,8.0,5 26 29 30 35
34,7,1.143,8.0,5 27 31 32 36 37 38
35,5,1.600,8.0,5 6 30 33 36
36,6,1.333,8.0,5 6 31 34 35 37
37,4,2.000,8.0,32 34 36 38
38,5,1.600,8.0,28 32 34 37 39
39,4,2.000,8.0,12 28 32 38
